pinyin,chinese_name,property_text
cebaiye,侧柏叶,性味苦涩寒；归肺肝大肠经；功效：凉血止血、化痰止咳、生发乌发。
chaihu,柴胡,性味苦辛微寒；归肝经；功效：疏散退热、疏肝解郁、升举阳气。
chantui,蝉蜕,性味甘寒；归肺肝经；功效：疏散风热、利咽开音、透疹、明目退翳、息风止痉。
chenpi,陈皮,性味苦辛温；归脾肺经；功效：理气健脾、燥湿化痰。
chenxiang,沉香,性味辛苦微温；归脾胃肾经；功效：行气止痛、温中止呕、纳气平喘。
chishao,赤芍,性味苦微寒；归肝经经；功效：清热凉血、散瘀止痛。
chishizhi,赤石脂,性味甘酸涩温；归大肠胃经；功效：涩肠止泻、收敛止血、敛疮生肌。
chongcao,虫草,性味甘平；归肺肾经；功效：补肾益肺、止血化痰。
chuanshanjia,穿山甲,性味咸微寒；归肝胃经；功效：活血消癥、通经下乳、消肿排脓、搜风通络。
chuanxinlian,穿心莲,性味苦寒；归心肺大肠膀胱经；功效：清热解毒、凉血消肿、燥湿。
cishi,磁石,性味咸寒；归肝肾心经；功效：镇惊安神、平肝潜阳、聪耳明目、纳气平喘。
dafupi,大腹皮,性味辛微温；归脾胃大肠小肠经；功效：行气宽中、行水消肿。
dangshen,党参,性味甘平；归脾肺经；功效：健脾益肺、养血生津。
danshen,丹参,性味苦微寒；归心肝经；功效：活血调经、凉血消痈、安神。
daqingye,大青叶,性味苦寒；归心胃经；功效：清热解毒、凉血消斑。
daxueteng,大血藤,性味苦平；归大肠肝经；功效：清热解毒、活血止痛、祛风通络。
digupi,地骨皮,性味甘寒；归肺肝肾经；功效：凉血除蒸、清肺降火。
dilong,地龙,性味咸寒；归肝脾膀胱经；功效：清热定惊、通络平喘、利尿。
diyu,地榆,性味苦酸涩微寒；归肝大肠经；功效：凉血止血、解毒敛疮。
duzhong,杜仲,性味甘温；归肝肾经；功效：补肝肾、强筋骨、安胎。
fangfeng,防风,性味辛甘微温；归膀胱肝脾经；功效：祛风解表、胜湿止痛、止痉。
foshou,佛手,性味辛苦酸温；归肝脾胃肺经；功效：疏肝理气、和胃止痛、燥湿化痰。
fuling,茯苓,性味甘淡平；归心肺脾肾经；功效：利水渗湿、健脾、宁心。
fupenzi,覆盆子,性味甘酸温；归肝肾经；功效：益肾固精缩尿、养肝明目。
fuzi,附子,性味辛甘大热有毒；归心肾脾经；功效：回阳救逆、补火助阳、散寒止痛。
gancao,甘草,性味甘平；归心肺脾胃经；功效：补脾益气、清热解毒、祛痰止咳、缓急止痛、调和诸药。
ganjiang,干姜,性味辛热；归脾胃肾心肺经；功效：温中散寒、回阳通脉、温肺化饮。
gegen,葛根,性味甘辛凉；归脾胃肺经；功效：解肌退热、生津止渴、透疹、升阳止泻、通经活络。
gouqizi,枸杞,性味甘平；归肝肾经；功效：滋补肝肾、益精明目。
gouteng,钩藤,性味甘凉；归肝心包经；功效：息风定惊、清热平肝。
guanzhong,贯众,性味苦微寒有小毒；归肝胃经；功效：清热解毒、驱虫、止血。
guya,谷芽,性味甘温；归脾胃经；功效：消食和中、健脾开胃。
hehuanpi,合欢皮,性味甘平；归心肝肺经；功效：解郁安神、活血消肿。
heshouwu,何首乌,性味苦甘涩微温；归肝肾经；功效：制用补肝肾益精血、生用解毒消痈润肠通便。
honghua,红花,性味辛温；归心肝经；功效：活血通经、散瘀止痛。
hongkou,红豆蔻,性味辛温；归脾胃肺经；功效：散寒燥湿、醒脾消食。
houpu,厚朴,性味苦辛温；归脾胃肺大肠经；功效：燥湿消痰、下气除满。
huaihua,槐花,性味苦微寒；归肝大肠经；功效：凉血止血、清肝泻火。
huangbo,黄柏,性味苦寒；归肾膀胱经；功效：清热燥湿、泻火除蒸、解毒疗疮。
huangjing,黄精,性味甘平；归脾胃肺肾经；功效：补气养阴、健脾、润肺、益肾。
huangqin,黄芩,性味苦寒；归肺胆脾大肠小肠经；功效：清热燥湿、泻火解毒、止血、安胎。
huomaren,火麻仁,性味甘平；归脾胃大肠经；功效：润肠通便。
huzhang,虎杖,性味微苦微寒；归肝胆肺经；功效：利湿退黄、清热解毒、散瘀止痛、止咳化痰。
jiangcan,僵蚕,性味咸辛平；归肝肺经；功效：息风止痉、祛风止痛、化痰散结。
jianghuang,姜黄,性味辛苦温；归脾胃肝经；功效：破血行气、通经止痛。
jineijin,鸡内金,性味甘平；归脾胃小肠膀胱经；功效：健胃消食、涩精止遗、通淋化石。
jingjie,荆芥,性味辛微温；归肺肝经；功效：解表散风、透疹消疮、炒炭止血。
jinqiancao,金钱草,性味甘咸微寒；归肝胆肾膀胱经；功效：利湿退黄、利尿通淋、解毒消肿。
jinyinhua,金银花,性味甘寒；归肺心胃经；功效：清热解毒、疏散风热。
jixueteng,鸡血藤,性味苦甘温；归肝经；功效：活血补血、调经止痛、舒筋活络。
juemingzi,决明子,性味甘苦咸微寒；归肝大肠经；功效：清热明目、润肠通便。
kushen,苦参,性味苦寒；归心肝胃大肠膀胱经；功效：清热燥湿、杀虫利尿。
laifuzi,莱菔子,性味辛甘平；归脾胃肺经；功效：消食除胀、降气化痰。
lianqiao,连翘,性味苦微寒；归肺心小肠经；功效：清热解毒、疏散风热、消肿散结。
lianzixin,莲子心,性味苦寒；归心肾经；功效：清心安神、交通心肾、涩精止血。
lingzhi,灵芝,性味甘平；归心肺肝肾经；功效：补气安神、止咳平喘。
lizhihe,荔枝核,性味甘微苦温；归肝胃经；功效：行气散结、祛寒止痛。
longgu,龙骨,性味甘涩平；归心肝肾经；功效：镇惊安神、平肝潜阳、收敛固涩。
lulutong,路路通,性味苦平；归肝膀胱经；功效：祛风活络、利水通经、下乳。
luohanguo,罗汉果,性味甘凉；归肺大肠经；功效：清热润肺、利咽开音、滑肠通便。
luoshiteng,络石藤,性味苦微寒；归心肝经；功效：祛风通络、凉血消肿。
maidong,麦冬,性味甘微苦微寒；归心胃肺经；功效：养阴生津、润肺清心。
maiya,麦芽,性味甘平；归脾胃肝经；功效：行气消食、健脾开胃、回乳消胀。
mohanlian,墨旱莲,性味甘酸寒；归肝肾经；功效：滋补肝肾、凉血止血。
mudanpi,牡丹皮,性味苦辛微寒；归心肝肾经；功效：清热凉血、活血化瘀。
muli,牡蛎,性味咸微寒；归肝肾经；功效：重镇安神、潜阳补阴、软坚散结、收敛固涩。
muxiang,木香,性味辛苦温；归脾胃大肠三焦经；功效：行气止痛、健脾消食。
niuxi,牛膝,性味苦甘酸平；归肝肾经；功效：逐瘀通经、补肝肾、强筋骨、利尿通淋、引血下行。
nvzhenzi,女贞子,性味甘苦凉；归肝肾经；功效：滋补肝肾、明目乌发。
paojiang,炮姜,性味苦涩温；归脾胃肾经；功效：温经止血、温中止痛。
peilan,佩兰,性味辛平；归脾胃肺经；功效：芳香化湿、醒脾开胃、发表解暑。
pugongying,蒲公英,性味苦甘寒；归肝胃经；功效：清热解毒、消肿散结、利尿通淋。
puhuang,蒲黄,性味甘平；归肝心包经；功效：止血、化瘀、通淋。
qianghuo,羌活,性味辛苦温；归膀胱肾经；功效：解表散寒、祛风胜湿、止痛。
qianhu,前胡,性味苦辛微寒；归肺脾经；功效：降气化痰、散风清热。
qinghao,青蒿,性味苦辛寒；归肝胆经；功效：清虚热、除骨蒸、解暑热、截疟、退黄。
quanxie,全蝎,性味辛平有毒；归肝经；功效：息风镇痉、通络止痛、攻毒散结。
renshen,人参,性味甘微苦微温；归脾肺心肾经；功效：大补元气、复脉固脱、补脾益肺、生津养血、安神。
renshenqiepian,人参,性味甘微苦微温；归脾肺心肾经；功效：大补元气、复脉固脱、补脾益肺、生津养血、安神。
roucongronggen,肉苁蓉,性味甘咸温；归肾大肠经；功效：补肾阳、益精血、润肠通便。
roucongrongpian,肉苁蓉,性味甘咸温；归肾大肠经；功效：补肾阳、益精血、润肠通便。
roudoukou,肉豆蔻,性味辛温；归脾胃大肠经；功效：温中行气、涩肠止泻。
rougui,肉桂,性味辛甘大热；归肾脾心肝经；功效：补火助阳、引火归元、散寒止痛、温通经脉。
sangpiaoxiao,桑螵蛸,性味甘咸平；归肝肾经；功效：固精缩尿、补肾助阳。
sangshen,桑葚,性味甘酸寒；归心肝肾经；功效：滋阴补血、生津润燥。
sanqi,三七,性味甘微苦温；归肝胃经；功效：化瘀止血、活血定痛。
shanyao,山药,性味甘平；归脾肺肾经；功效：补脾养胃、生津益肺、补肾涩精。
shanzha,山楂,性味酸甘微温；归脾胃肝经；功效：消食健胃、行气散瘀、化浊降脂。
shanzhuyu,山茱萸,性味酸涩微温；归肝肾经；功效：补益肝肾、收涩固脱。
sharen,砂仁,性味辛温；归脾胃肾经；功效：化湿开胃、温脾止泻、理气安胎。
shechuangzi,蛇床子,性味辛苦温；归肾经；功效：燥湿祛风、杀虫止痒、温肾壮阳。
shegan,射干,性味苦寒；归肺经；功效：清热解毒、消痰利咽。
shengma,升麻,性味辛微甘微寒；归肺脾胃大肠经；功效：发表透疹、清热解毒、升举阳气。
shenqu,神曲,性味甘辛温；归脾胃经；功效：消食和胃。
shichangpu,石菖蒲,性味辛苦温；归心胃经；功效：开窍豁痰、醒神益智、化湿开胃。
shigao,石膏,性味甘辛大寒；归肺胃经；功效：清热泻火、除烦止渴。
shihu,石斛,性味甘微寒；归胃肾经；功效：益胃生津、滋阴清热。
shouwutengkuai,首乌藤,性味甘平；归心肝经；功效：养血安神、祛风通络。
shouwutengpian,首乌藤,性味甘平；归心肝经；功效：养血安神、祛风通络。
shuihonghuazi,水红花子,性味咸凉；归肝胃经；功效：散血消癥、消积止痛、利水消肿。
shuiniujiao,水牛角,性味苦寒；归心肝胃经；功效：清热凉血、定惊。
suanzaoren,酸枣仁,性味甘酸平；归肝胆心经；功效：养心补肝、宁心安神、敛汗生津。
taoren,桃仁,性味苦甘平；归心肝大肠经；功效：活血祛瘀、润肠通便、止咳平喘。
tiandong,天冬,性味甘苦寒；归肺肾经；功效：养阴润燥、清肺生津。
tiankuizi,天葵子,性味甘苦寒；归肝胃经；功效：清热解毒、消肿散结。
tianmakuai,天麻,性味甘平；归肝经；功效：息风止痉、平抑肝阳、祛风通络。
tianmapian,天麻,性味甘平；归肝经；功效：息风止痉、平抑肝阳、祛风通络。
tiannanxing,天南星,性味苦辛温有毒；归肺肝脾经；功效：燥湿化痰、祛风止痉、散结消肿。
tongcao,通草,性味甘淡微寒；归肺胃经；功效：清热利尿、通气下乳。
tubiechong,土鳖虫,性味咸寒有小毒；归肝经；功效：破血逐瘀、续筋接骨。
tusizi,菟丝子,性味辛甘平；归肝肾脾经；功效：补益肝肾、固精缩尿、安胎、明目、止泻。
wujiapi,五加皮,性味辛苦温；归肝肾经；功效：祛风湿、补肝肾、强筋骨。
wulingzhi,五灵脂,性味苦咸甘温；归肝经；功效：活血止痛、化瘀止血。
wumei,乌梅,性味酸涩平；归肝脾肺大肠经；功效：敛肺涩肠、生津安蛔。
wuweizi,五味子,性味酸甘温；归肺心肾经；功效：收敛固涩、益气生津、补肾宁心。
xiakucao,夏枯草,性味辛苦寒；归肝胆经；功效：清肝泻火、明目、散结消肿。
xiangfu,香附,性味辛微苦微甘平；归肝脾三焦经；功效：疏肝解郁、理气宽中、调经止痛。
xianhecao,仙鹤草,性味苦涩平；归心肝经；功效：收敛止血、截疟止痢、解毒补虚。
xiaohuixiang,小茴香,性味辛温；归肝肾脾胃经；功效：散寒止痛、理气和胃。
xinyi,辛夷,性味辛温；归肺胃经；功效：散风寒、通鼻窍。
xixin,细辛,性味辛温有小毒；归心肾肺经；功效：解表散寒、祛风止痛、通窍、温肺化饮。
xuduan,续断,性味苦辛微温；归肝肾经；功效：补肝肾、强筋骨、续折伤、止崩漏。
yejuhua,菊花,性味苦辛微寒；归肝心经；功效：清热解毒、泻火平肝。
yimucao,益母草,性味苦辛微寒；归肝心包膀胱经；功效：活血调经、利尿消肿、清热解毒。
yinchen,茵陈,性味苦辛微寒；归脾胃肝胆经；功效：清利湿热、利胆退黄。
yiyiren,薏苡仁,性味甘淡凉；归脾胃肺经；功效：利水渗湿、健脾止泻、除痹、排脓、解毒散结。
yuanzhi,远志,性味苦辛温；归心肾肺经；功效：安神益智、交通心肾、祛痰开窍、消散痈肿。
yujin,郁金,性味辛苦寒；归肝心肺经；功效：活血止痛、行气解郁、清心凉血、利胆退黄。
yuzhupian,玉竹,性味甘微寒；归肺胃经；功效：养阴润燥、生津止渴。
yuzhutiao,玉竹,性味甘微寒；归肺胃经；功效：养阴润燥、生津止渴。
zelan,泽兰,性味苦辛微温；归肝脾经；功效：活血调经、祛瘀消痈、利水消肿。
zhebeimu,浙贝母,性味苦寒；归肺心经；功效：清热化痰、散结消痈。
zhenzhumu,珍珠母,性味咸寒；归肝心经；功效：平肝潜阳、安神定惊、明目退翳。
zhimu,知母,性味苦甘寒；归肺胃肾经；功效：清热泻火、滋阴润燥。
zhiqiaopian,枳壳,性味苦辛酸微寒；归脾胃经；功效：理气宽中、行滞消胀。
zhiqiaotiao,枳壳,性味苦辛酸微寒；归脾胃经；功效：理气宽中、行滞消胀。
zhishi,枳实,性味苦辛酸微寒；归脾胃经；功效：破气消积、化痰散痞。
zhuru,竹茹,性味甘微寒；归肺胃心胆经；功效：清热化痰、除烦止呕。
zicao,紫草,性味甘咸寒；归心肝经；功效：凉血活血、解毒透疹。
zihuadiding,紫花地丁,性味苦辛寒；归心肝经；功效：清热解毒、凉血消肿。
ziyuan,紫菀,性味辛苦温；归肺经；功效：润肺下气、消痰止咳。
